AccountId1,AccountId2,MatchPercentage,RoleCount
0011J00001OXkkwQAD,0013c000020vjSWAAY,0.916,19
0011J00001OXkkwQAD,0013c000020vkCWAAY,0.9520000000000001,19
0011J00001OXkXQQA1,0013c000020wS9YAAU,1,8
0011J00001OXl6QQAT,0011J00001EAdX0QAL,1,39
0011J00001OXl6QQAT,0011J00001LFAcyQAH,0.928,39
0011J00001OXl6QQAT,0011J00001NLfNXQA1,1,39
0011J00001OXkkwQAD,001Nq00000XBzs2IAD,1,19
0011J00001OXl6QQAT,0011J00001OY9DbQAL,0.9219999999999999,39
0011J00001OXkceQAD,001Nq00000XBzs0IAD,1,1
0011J00001OXl68QAD,001Nq00000XBzs3IAD,1,1
0011J00001OXl6QQAT,0013c00001px4OgAAI,1,39
0011J00001OXl6QQAT,0013c00001uazzgAAA,0.928,39
0011J00001OXl6QQAT,0013c00001yU1vSAAS,0.928,39
0011J00001OXk0pQAD,001Nq00000as5CXIAY,1,0
0011J00001OXkRnQAL,001Nq00000as242IAA,0.916,73
0011J00001OXkRnQAL,001Nq00000as5CaIAI,1,73
0011J00001OXl6QQAT,0013c000020vVwVAAU,1,39
0011J00001OXkfJQAT,001Nq00000XBzs1IAD,1,0
0011J00001OXl6QQAT,0013c000020vfu3AAA,0.85,39
0011J00001OXkkwQAD,001Nq00000as5JCIAY,0.9520000000000001,19
0011J00001OXkkwQAD,001Nq00000as5SxIAI,0.916,19
0011J00001OXlXMQA1,0013c00001ub4JjAAI,0.9119999999999999,9
0011J00001OXk3NQAT,001Nq00000as5W6IAI,0.96,1
0011J00001OXkXQQA1,001Nq00000as3nRIAQ,0.9520000000000001,8
0011J00001OXlXMQA1,0013c000020vbnoAAA,0.976,9
0011J00001OXl6QQAT,001Nq00000XCO6DIAX,0.85,39
0011J00001OXlpgQAD,0013c00001yUKrhAAG,1,15
0011J00001OXlXMQA1,0013c000020yE37AAE,0.9580000000000001,9
0011J00001OXl6QQAT,001Nq00000arpUtIAI,0.928,39
0011J00001OXl6QQAT,001Nq00000as0haIAA,1,39
0011J00001OXlpgQAD,0013c000020veeIAAQ,1,15
0011J00001OXlpgQAD,0013c000020vkg4AAA,1,15
0011J00001OXmVRQA1,0011J00001EIX9EQAX,1,3
0011J00001OXm0GQAT,0013c000020yGrQAAU,0.902,1
0011J00001OXl6QQAT,001o000000tkgYcAAI,0.928,39
0011J00001OXlpqQAD,001Nq00000XBzsAIAT,1,1
0011J00001OXmJZQA1,0013c000020vUvLAAU,0.85,0
0011J00001OXlMzQAL,001Nq00000XBzs6IAD,1,0
0011J00001OXmVRQA1,0013c000020vHLbAAM,1,3
0011J00001OXmVRQA1,0013c000020vXzDAAU,1,3
0011J00001OXmVRQA1,0013c000020vcY1AAI,1,3
0011J00001OXmQtQAL,001Nq00000XBzsEIAT,1,4
0011J00001OXmPdQAL,001Nq00000XBzsDIAT,1,1
0011J00001OXm0GQAT,001Nq00000arpUcIAI,1,1
0011J00001OXmhFQAT,0013c00001yTxmDAAS,0.916,3
0011J00001OXlXMQA1,001Nq00000as3nqIAA,1,9
0011J00001OXmhFQAT,0013c00001z5EyEAAU,1,3
0011J00001OXlXMQA1,001Nq00000as5nrIAA,0.912,9
0011J00001OXmJZQA1,001Nq00000XCO5AIAX,0.85,0
0011J00001OXlpgQAD,001Nq00000as0i3IAA,1,15
0011J00001OXlpgQAD,001Nq00000as5CgIAI,1,15
0011J00001OXmVRQA1,001Nq00000as0hgIAA,1,3
0011J00001OXmJZQA1,001o0000014fLBlAAM,0.862,0
0011J00001OXmhFQAT,001Nq00000XC7nmIAD,0.916,3
0011J00001OXmppQAD,001Nq00000XBzsMIAT,1,3
0011J00001OXne0QAD,0013c000020ymkpAAA,1,2
0011J00001OXneRQAT,001Nq00000XBzsSIAT,1,1
0011J00001OXnR9QAL,001Nq00000XBzsQIAT,1,2
0011J00001OXnKXQA1,001Nq00000XBzsPIAT,1,2
0011J00001OXmhFQAT,001Nq00000as5ClIAI,1,3
0011J00001OXne0QAD,001Nq00000as5CqIAI,1,2
0011J00001OXo58QAD,0013c000020ynLzAAI,1,1
0011J00001OY9DbQAL,0011J00001EAdX0QAL,0.9219999999999999,0
0011J00001OXniEQAT,001Nq00000XBzsUIAT,1,5
0011J00001OY9DbQAL,0011J00001NLfNXQA1,0.9219999999999999,0
0011J00001OY9DbQAL,0011J00001OXl6QQAT,0.9219999999999999,0
0011J00001OXnpBQAT,001Nq00000XBzsVIAT,1,17
